architecture,seed,fold,n_train,n_val,mse,r2,train_mse,gap,epochs_run,best_epoch,early_stopped,mse_HC,mse_NOx,mse_CO2,mse_PM,mse_eta
A6,2,0,27,7,0.01080450669367771,0.8571252703819896,0.013309760419039748,-0.0025052537253620385,123,93,true,0.006808392495843202,0.011919504302683768,0.0023422923386633527,0.018612293014332846,0.014340051316865384
A6,2,1,27,7,0.016749862673854757,0.7777311452941029,0.010717645223346088,0.00603221745050867,300,300,false,0.04218039648142642,0.004379974897418316,0.0009430985722780044,0.0057182304790402505,0.030527612939110806
A6,2,2,27,7,0.01084427477172912,0.6713394320732002,0.013650354012807817,-0.0028060792410786965,138,108,true,0.006610976247959033,0.003997288564712426,0.00938493457677937,0.015405242866802548,0.018822931602392234
A6,2,3,27,7,0.03203178743200119,0.2283220583759522,0.04045422474977641,-0.00842243731777522,49,19,true,0.03037860184180863,0.015688243875283798,0.07085152274009603,0.03332907363180913,0.009911495071008369
A6,2,4,28,6,0.04593171496890649,0.6433913208566844,0.008092008603119857,0.03783970636578663,300,300,false,0.03033136495144984,0.009800112147272569,0.006450918970986329,0.16208066974476004,0.020995509030063603
A7,0,0,27,7,0.020989259347494876,0.5031450458162867,0.017410136683591048,0.0035791226639038283,300,300,false,0.029979827312022114,0.007409477917147301,0.024839190570899894,0.032333639659683326,0.01038416127772175
A7,0,1,27,7,0.11302320836887743,0.04142010782939032,0.020487393151069178,0.09253581521780825,300,300,false,0.0798372788850884,0.03571224373074998,0.0870994149978382,0.35518034655386393,0.007286757676846727
A7,0,2,27,7,0.046147647080391166,-3.672743997422458,0.056124323366901104,-0.009976676286509938,71,41,true,0.0071905023432057525,0.028587152230418265,0.12679514309645631,0.05015708395716677,0.018008353774708708
A7,0,3,27,7,0.019362319379507872,0.7510139545012009,0.011892260465096647,0.0074700589144112255,300,300,false,0.06396401112962583,0.005285259421159697,0.002106488299395888,0.009091224697248903,0.01636461335010904
A7,0,4,28,6,0.018605467557337878,0.7797066314823934,0.011078417293323222,0.007527050264014656,300,300,false,0.011536432313610753,0.038912058756893665,0.008274415855663448,0.01378514668861504,0.0205192841719065
A7,1,0,27,7,0.022000975528043788,0.6508523728331526,0.011285122281276167,0.010715853246767621,300,300,false,0.05444072910118258,0.003984320151860529,0.010285739081116503,0.009929564913344466,0.03136452439271486
A7,1,1,27,7,0.006022107144813359,0.7571805085936444,0.01510116404422688,-0.009079056899413521,300,300,false,0.0041894718477450965,0.007555093128589772,0.004704404623285219,0.01074133994213378,0.0029202261823129266
A7,1,2,27,7,0.03555192079979089,-1.1983393805976865,0.03736263819933479,-0.0018107173995439013,191,161,true,0.032973340600683305,0.0046157880400835875,0.03288514672353487,0.06516505040491836,0.04212027822973433
A7,1,3,27,7,0.02275834598017843,0.13136845464777447,0.019422702283838432,0.003335643696339999,268,238,true,0.004063640855517034,0.07033323533227089,0.011965266398193616,0.01868370687254081,0.008745880442369796
A7,1,4,28,6,0.16332708559317216,0.053501106604493254,0.007444230056764363,0.1558828555364078,300,300,false,0.10785540541363127,0.03465058862680157,0.09194166604219695,0.5548411885737766,0.027346579309454125
A7,2,0,27,7,0.026348833307564237,0.6515729462437072,0.02764687210743247,-0.001298038799868232,300,300,false,0.005613720471738716,0.046926464915177976,0.02366443236181543,0.03859231395110204,0.016947234837987015
A7,2,1,27,7,0.019832421879188256,0.7368259201305514,0.01413877024020775,0.005693651638980507,300,300,false,0.04452750211285559,0.0034209337406622587,0.027037674058615197,0.005997400981704433,0.01817859850210382
A7,2,2,27,7,0.012831360846728061,0.6111162404190059,0.015129079151134043,-0.002297718304405982,300,300,false,0.007390345895041188,0.003885224213521041,0.013305933020139596,0.01673393646756998,0.022841364637368498
